,time_index,time,Fiji_%spatial_extent,New_Caledonia_%spatial_extent,Vanuatu_%spatial_extent,Wallis_and_Futuna_%spatial_extent,Solomon_Islands_%spatial_extent,Tonga_%spatial_extent,Samoa_%spatial_extent,Tuvalu_%spatial_extent,Niue_%spatial_extent,Cook_Islands_%spatial_extent,Tokelau_%spatial_extent,American_Samoa_%spatial_extent
0,1102,1996-01-08,0.0,25.57856272838002,0.0,0.0,0.2820874471086037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1103,1996-01-09,0.0,30.20706455542022,0.0,0.0,0.846262341325811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1104,1996-01-10,0.0,40.31668696711328,2.2274325908558033,0.0,0.9873060648801129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1105,1996-01-11,9.168081494057725,45.18879415347138,40.6799531066823,0.0,1.5514809590973202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1106,1996-01-12,7.583474816072439,66.44336175395858,55.56858147713951,0.0,3.6201222378937468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1107,1996-01-13,8.60215053763441,67.1741778319123,59.90621336459554,0.0,5.594734367653973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1108,1996-01-14,9.790605546123372,58.7088915956151,59.55451348182884,0.0,6.393982134461683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1109,1996-01-15,11.092246745897,55.35931790499391,59.90621336459554,0.0,6.393982134461683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,110,1993-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1110,1996-01-16,13.412563667232597,51.64433617539586,62.71981242672919,0.0,6.393982134461683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1111,1996-01-17,13.695529145444254,47.01583434835566,62.60257913247362,0.0,6.393982134461683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1112,1996-01-18,13.52574985851726,33.92204628501827,55.33411488862837,0.0,5.923836389280677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1113,1996-01-19,12.620260328239954,27.28380024360536,41.96951934349355,0.0,4.842501175364363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1114,1996-01-20,0.0,8.708891595615103,0.0,0.0,3.5731076633756462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1115,1996-01-21,0.0,7.429963459196102,0.0,0.0,8.41560883874001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1116,1996-01-22,0.0,0.0,0.0,0.0,10.81335213916314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1117,1996-01-23,0.0,0.0,0.0,0.0,11.142454160789844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1118,1996-01-24,0.0,0.0,0.0,0.0,11.142454160789844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1119,1996-01-25,0.0,0.0,0.0,0.0,13.963328631875882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,111,1993-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7332328560663148,0.0,0.0
0,1120,1996-01-26,0.0,0.0,0.0,0.0,16.502115655853313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1121,1996-01-27,0.0,0.0,0.0,0.0,17.01927597555242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1122,1996-01-28,0.0,0.0,0.0,0.0,17.113305124588624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1123,1996-01-29,0.0,0.0,0.0,0.0,17.01927597555242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1124,1996-01-30,0.0,0.0,0.0,0.0,16.784203102961918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1125,1996-01-31,0.0,0.8526187576126675,0.0,0.0,16.737188528443816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1126,1996-02-01,0.0,8.465286236297198,0.0,0.0,16.502115655853313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1127,1996-02-02,0.0,11.0231425091352,0.0,0.0,16.784203102961918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1128,1996-02-03,0.0,11.875761266747869,0.0,0.0,16.502115655853313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
