,country,latitude,longitude,time,spatial_extent
29,New Caledonia,-20.83333396911621,167.3333282470703,727593,0.0
30,New Caledonia,-20.83333396911621,167.3333282470703,727594,0.0
31,New Caledonia,-20.83333396911621,167.3333282470703,727595,0.0
32,New Caledonia,-20.83333396911621,167.3333282470703,727596,0.0
33,New Caledonia,-20.83333396911621,167.3333282470703,727597,0.0
34,New Caledonia,-20.83333396911621,167.3333282470703,727598,0.0
35,New Caledonia,-20.83333396911621,167.3333282470703,727599,0.0
36,New Caledonia,-20.83333396911621,167.3333282470703,727600,0.0
37,New Caledonia,-20.83333396911621,167.3333282470703,727601,0.0
38,New Caledonia,-20.83333396911621,167.3333282470703,727602,0.0
39,New Caledonia,-20.83333396911621,167.3333282470703,727603,0.0
40,New Caledonia,-20.83333396911621,167.3333282470703,727604,0.0
41,New Caledonia,-20.83333396911621,167.3333282470703,727605,0.0
42,New Caledonia,-20.83333396911621,167.3333282470703,727606,0.0
43,New Caledonia,-20.83333396911621,167.3333282470703,727607,0.0
44,New Caledonia,-20.83333396911621,167.3333282470703,727608,0.0
45,New Caledonia,-20.83333396911621,167.3333282470703,727609,0.0
46,New Caledonia,-20.83333396911621,167.3333282470703,727610,0.0
47,New Caledonia,-20.83333396911621,167.3333282470703,727611,0.0
48,New Caledonia,-20.83333396911621,167.3333282470703,727612,0.0
49,New Caledonia,-20.83333396911621,167.3333282470703,727613,0.0
50,New Caledonia,-20.83333396911621,167.3333282470703,727614,0.0
51,New Caledonia,-20.83333396911621,167.3333282470703,727615,0.0
52,New Caledonia,-20.83333396911621,167.3333282470703,727616,0.0
53,New Caledonia,-20.83333396911621,167.3333282470703,727617,0.0
54,New Caledonia,-20.83333396911621,167.3333282470703,727618,0.0
55,New Caledonia,-20.83333396911621,167.3333282470703,727619,0.0
56,New Caledonia,-20.83333396911621,167.3333282470703,727620,0.0
57,New Caledonia,-20.83333396911621,167.3333282470703,727621,0.0
58,New Caledonia,-20.83333396911621,167.3333282470703,727622,0.0
59,New Caledonia,-20.83333396911621,167.3333282470703,727623,0.0
60,New Caledonia,-20.83333396911621,167.3333282470703,727624,0.0
61,New Caledonia,-20.83333396911621,167.3333282470703,727625,0.0
62,New Caledonia,-20.83333396911621,167.3333282470703,727626,0.0
63,New Caledonia,-20.83333396911621,167.3333282470703,727627,0.0
64,New Caledonia,-20.83333396911621,167.3333282470703,727628,0.0
65,New Caledonia,-20.83333396911621,167.3333282470703,727629,0.0
66,New Caledonia,-20.83333396911621,167.3333282470703,727630,0.0
67,New Caledonia,-20.83333396911621,167.3333282470703,727631,0.0
68,New Caledonia,-20.83333396911621,167.3333282470703,727632,0.0
69,New Caledonia,-20.83333396911621,167.3333282470703,727633,0.0
70,New Caledonia,-20.83333396911621,167.3333282470703,727634,0.0
71,New Caledonia,-20.83333396911621,167.3333282470703,727635,0.0
72,New Caledonia,-20.83333396911621,167.3333282470703,727636,0.0
73,New Caledonia,-20.83333396911621,167.3333282470703,727637,0.0
74,New Caledonia,-20.83333396911621,167.3333282470703,727638,0.0
75,New Caledonia,-20.83333396911621,167.3333282470703,727639,0.0
76,New Caledonia,-20.83333396911621,167.3333282470703,727640,0.0
77,New Caledonia,-20.83333396911621,167.3333282470703,727641,0.0
78,New Caledonia,-20.83333396911621,167.3333282470703,727642,0.0
79,New Caledonia,-20.83333396911621,167.3333282470703,727643,0.0
80,New Caledonia,-20.83333396911621,167.3333282470703,727644,0.0
81,New Caledonia,-20.83333396911621,167.3333282470703,727645,0.0
82,New Caledonia,-20.83333396911621,167.3333282470703,727646,0.0
83,New Caledonia,-20.83333396911621,167.3333282470703,727647,0.0
84,New Caledonia,-20.83333396911621,167.3333282470703,727648,0.0
85,New Caledonia,-20.83333396911621,167.3333282470703,727649,0.0
86,New Caledonia,-20.83333396911621,167.3333282470703,727650,0.0
87,New Caledonia,-20.83333396911621,167.3333282470703,727651,0.0
88,New Caledonia,-20.83333396911621,167.3333282470703,727652,0.0
89,New Caledonia,-20.83333396911621,167.3333282470703,727653,0.0
90,New Caledonia,-20.83333396911621,167.3333282470703,727654,0.0
91,New Caledonia,-20.83333396911621,167.3333282470703,727655,0.0
92,New Caledonia,-20.83333396911621,167.3333282470703,727656,0.0
93,New Caledonia,-20.83333396911621,167.3333282470703,727657,0.0
94,New Caledonia,-20.83333396911621,167.3333282470703,727658,0.0
95,New Caledonia,-20.83333396911621,167.3333282470703,727659,0.0
